numer_sta date pmer tend cod_tend dd ff t td u vv ww w1 w2 n nbas hbas cl cm ch pres niv_bar geop tend24 tn12 tn24 tx12 tx24 tminsol sw tw raf10 rafper per etat_sol ht_neige ssfrai perssfrai rr1 rr3 rr6 rr12 rr24 phenspe1 phenspe2 phenspe3 phenspe4 nnuage1 ctype1 hnuage1 nnuage2 ctype2 hnuage2 nnuage3 ctype3 hnuage3 nnuage4 ctype4 hnuage4
61980 20151025120000 101610 0 0 30 1.500000 299.950000 295.350000 76 10000 2 1 1 90 7 450 38 61 60 0 0 0 150 0 0 0 0 0 0 0 0 2.600000 -10 0 0 0 0 0.000000 0 0.000000 0 0 0 0 0 0 4 8 390 7 6 1380 0 0 0 0 0 0
61996 20151025120000 101490 150 3 260 8.200000 286.650000 281.250000 70 0 0 0 0 0 0 0 0 0 0 101140 0 0 0 0 0 0 0 0 0 0 0 14.400000 -10 0 0 0 0 0 0.000000 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
61997 20151025120000 102520 -130 7 310 10.800000 277.050000 271.650000 68 0 0 0 0 0 0 0 0 0 0 100700 0 0 0 0 0 0 0 0 0 0 0 15.900000 -10 0 0 0 0 0 0.000000 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
61998 20151025120000 101560 470 1 250 12.900000 272.150000 270.550000 87 0 0 0 0 0 0 0 0 0 0 101180 0 0 2790 0 0 0 0 0 0 0 0 18.000000 -10 0 0 0 0 0.000000 0 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
67005 20151025120000 101220 0 0 300 2.100000 303.950000 295.850000 62 20000 2 1 1 40 2 800 32 23 11 0 0 0 0 0 0 0 0 0 0 0 0 4.600000 -10 0 0 0 0 0.000000 0 0.000000 0 0 0 0 0 0 2 8 660 0 0 0 0 0 0 0 0 0
71805 20151025120000 102780 -60 5 210 8.200000 281.350000 276.150000 70 60000 2 1 1 90 7 800 35 61 60 102690 0 0 0 0 0 0 0 0 0 0 0 12.300000 -10 0 0 0 0 0 0.000000 0.000000 0 0 0 0 0 0 7 6 810 0 0 0 0 0 0 0 0 0
78897 20151025120000 101410 210 3 140 3.600000 301.950000 297.550000 77 60000 0 0 0 0 0 0 0 0 0 0 0 0 220 297.450000 0 0 305.050000 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
78925 20151025120000 101400 170 3 50 0.800000 300.250000 296.950000 82 60000 0 0 0 0 0 0 0 0 0 101310 0 0 180 0 0 0 0 0 0 0 1.900000 2.200000 -10 0 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
81401 20151025120000 101370 280 1 110 1.600000 301.950000 298.150000 80 0 0 0 0 0 0 0 0 0 0 101310 0 0 10 0 0 0 0 0 0 0 3.400000 3.900000 -10 0 0 0 0 0.000000 0.200000 0.200000 0.200000 2.200000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
81405 20151025120000 101330 210 1 100 2.400000 301.850000 298.450000 82 36270 0 0 0 0 2 450 0 0 0 101240 0 0 -40 296.150000 0 0 0 295.550000 0 0 5.100000 5.100000 -10 0 0 0 0 0.000000 0.000000 0.000000 0.000000 -0.100000 0 0 0 0 2 0 420 0 0 0 0 0 0 0 0 0
81415 20151025120000 101430 260 3 40 0.700000 301.150000 296.050000 74 0 0 0 0 0 0 0 0 0 0 100230 0 0 10 0 0 0 0 0 0 0 1.700000 1.700000 -10 0 0 0 0 0.000000 0.000000 0.000000 0.000000 0.400000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
89642 20151025120000 97610 110 1 130 10.300000 257.450000 244.850000 29 30000 2 1 1 0 0 0 0 0 0 97060 0 0 0 257.150000 0 263.750000 0 0 0 0 15.400000 15.400000 -60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
